Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3wReGgSbDEzsPA9wdpkKNa,"4mP4n2IZFIleQTmdWLIvDX","Hate File","Hate File","Harbinger",2021-12-10,204760,27,spotify:user:angels_anarchy,2023-07-05T14:56:51Z,"",0.284,0.974,11,-4.278,1,0.187,0.0000895,0.00000378,0.434,0.247,133.906,4
43jHaO1CCFkpXoVt9OQxgj,"6D3PbIyyqH2NaqPZSE6X5N","Festering with Dishonesty","Totalitarian Dystopia","Acrania",2014-08-19,225750,0,spotify:user:angels_anarchy,2023-07-05T14:57:41Z,"deathcore,slamming deathcore",0.303,0.954,5,-4.635,1,0.139,0.000522,0.554,0.354,0.265,119.878,4
4BtT6jHXbk9aiyqQHbd3sP,"4Uv5bceTJ2h3tLlssUNDNP","Toxic","Villain","Attila",2019-02-22,152858,45,spotify:user:angels_anarchy,2023-07-05T15:01:56Z,"atlanta metal,deathcore,melodic metalcore,metalcore,nu-metalcore,rap metal",0.464,0.998,1,-5.172,1,0.163,0.00208,0.896,0.351,0.246,159.87,4
4PBOwceSDbHT7qiwUsBNQR,"6HZr7Fs2VfV1PYHIwo8Ylc","Bludgeoned to Death","The Cleansing","Suicide Silence",2008-07-13,154106,45,spotify:user:angels_anarchy,2023-07-05T15:02:56Z,"deathcore,melodic metalcore,metalcore,nu metal",0.271,0.985,6,-3.756,1,0.131,0.00000222,0.738,0.401,0.317,120.968,3
3zVxkXehmxwWm3cdljVyVp,"4d6Rawrese4OLF1zZCztod","Animal","Lifeblood","Brand of Sacrifice",2021-03-05,244866,44,spotify:user:angels_anarchy,2023-07-05T15:04:24Z,"deathcore,melodic metalcore,slamming deathcore,symphonic deathcore",0.405,0.976,9,-4.571,1,0.235,0.00026,0,0.0895,0.286,154.913,4
0WHmSFswm513RRK0UJI2Ix,"6vXYoy8ouRVib302zxaxFF","Flesh Coffin","Flesh Coffin","Lorna Shore",2017-02-17,294041,40,spotify:user:angels_anarchy,2023-07-05T15:04:58Z,"blackened deathcore,melodic metalcore,symphonic deathcore",0.222,0.976,8,-2.726,1,0.17,0.0000933,0.763,0.212,0.0772,130.021,4
02FMm5i1pZR6TC9IeAmx1B,"1AdrYGYDz4oa9dvW2jfFrG","I Long for Rest","Angelmaker","Angelmaker",2019-05-31,210346,50,spotify:user:angels_anarchy,2023-07-05T15:06:13Z,"blackened deathcore,deathcore,melodic metalcore,slamming deathcore,vancouver metal",0.53,0.833,0,-4.475,1,0.0499,0.0000324,0.385,0.359,0.357,119.945,4
5cZqsjVs6MevCnAkasbEOX,"165ZgPlLkK7bf5bDoFc6Sb","Break Stuff","Significant Other","Limp Bizkit",1999,166706,83,spotify:user:angels_anarchy,2023-07-22T03:11:57Z,"alternative metal,funk metal,nu metal,post-grunge,rap metal,rock",0.432,0.884,8,-6.659,1,0.13,0.0127,0.000527,0.166,0.624,108.948,4
2PeLrcfqn5agneKc3S2HMu,"3RNrq3jvMZxD9ZyoOZbQOD,0Wfo0pd0KC47vx7uUEVOQ9","Wicked (feat. Chino Moreno)","Life Is Peachy","Korn,Chino Moreno",1996-10-15,240546,60,spotify:user:angels_anarchy,2023-08-06T19:09:59Z,"alternative metal,funk metal,hard rock,nu metal,post-grunge,rap metal,rock,sacramento indie",0.499,0.934,1,-7.351,1,0.187,0.0167,0,0.639,0.5,112.373,4
1SE6KqmGiKM31lglnKiPU1,"7JDSHlDdVTo7aZKdQZ53Vf","Behemoth","Cannibal","Static-X",2007-04-02,180680,37,spotify:user:angels_anarchy,2023-08-07T11:30:34Z,"alternative metal,industrial metal,industrial rock,nu metal,post-grunge,rap metal",0.66,0.993,10,-3.942,0,0.157,0.00183,0.00644,0.0431,0.143,124.022,4
